Name/Address,County,Latitude,Longitude,Mode
State St @ 1950 N (NB),Utah,817263,40.26152900,Bus
State St @ 1851 S,Utah,817264,40.26416900,Bus
500 W @ 508 N,Utah,817254,40.24087400,Bus
Center St @ 1767 W,Utah,819028,40.23382900,Bus
University Ave / 300 S (SB),Utah,820090,40.22919900,Bus
400 S @ 195 E,Utah,823039,40.16119300,Bus
Main St @ 420 N,Utah,823048,40.17260100,Bus
Main St @ 670 N,Utah,823049,40.17585100,Bus
400 S @ 210 E,Utah,823065,40.16100700,Bus
State St @ 2390 S,Utah,821022,40.20158300,Bus
Main St @ 900 N,Utah,823090,40.17875900,Bus
400 N @ 221 E,Utah,823098,40.17231200,Bus
Main St @ 444 S,Utah,823100,40.16063900,Bus
400 N @ 110 E,Utah,823103,40.17216400,Bus
400 E @ 20 S,Utah,823104,40.16621500,Bus
400 E @ 390 S,Utah,823106,40.16159600,Bus
400 E @ 26 N,Utah,823109,40.16703100,Bus
800 E @ 558 N,Utah,825001,40.11700100,Bus
Main St @ 295 S,Utah,825004,40.10614100,Bus
Main St @ 87 S,Utah,825006,40.10890200,Bus
800 E / 700 N (SB),Utah,825021,40.11897200,Bus
800 E @ 455 N,Utah,825023,40.11555100,Bus
Main St @ 140 S,Utah,825052,40.10793100,Bus
Main St @ 210 S,Utah,825053,40.10700300,Bus
800 E @ 450 N,Utah,825070,40.11558100,Bus
100 N @ 30 W,Utah,820143,40.23520300,Bus
100 N @ 280 W,Utah,820145,40.23521500,Bus
100 N / 100 W (EB),Utah,820187,40.23502200,Bus
500 W @ 358 N,Utah,820226,40.23826800,Bus
Expressway Ln @ 940 E,Utah,825073,40.12153700,Bus
Expressway Lane @ 945 E,Utah,825074,40.12157200,Bus
Center St @ 630 E,Utah,825116,40.10963500,Bus
800 E @ 30 N,Utah,825117,40.11033700,Bus
800 E @ 190 N,Utah,825118,40.11224200,Bus
State Hwy @ 1150 N,Utah,826001,40.12424500,Bus
800 S @ 947 W,Utah,828004,40.03124900,Bus
State Rd @ 763 S,Utah,828005,40.03196000,Bus
100 N @ 444 E,Utah,829013,40.04443800,Bus
100 N @ 520 E,Utah,829014,40.04442700,Bus
100 N @ 640 E,Utah,829015,40.04442200,Bus
100 N @ 1020 E,Utah,829018,40.04447200,Bus
Highway 198 @ 499 W,Utah,830001,40.05124800,Bus
400 N @ 351 E,Utah,823097,40.17229700,Bus
Main St @ 195 S,Utah,825005,40.10737700,Bus
Geneva Rd @ 1161 S,Utah,830028,40.27585200,Bus
1200 W @ 1209 N,Utah,830029,40.31925500,Bus
1200 W @ 1086 N,Utah,830031,40.31705800,Bus
800 E @ 579 N,Utah,830042,40.30782100,Bus
800 E @ 574 N,Utah,830043,40.30777900,Bus
University Ave / 900 S (SB),Utah,830044,40.22233900,Bus
Freedom Blvd / 300 N (NB),Utah,830063,40.23799700,Bus
State St / 900 W (WB),Utah,830079,40.38725200,Bus
University Ave / Paul Ream Ave (SB),Utah,830093,40.25312800,Bus
University Pkwy/University Ave (WB),Utah,830094,40.25609400,Bus
Freedom Blvd / 350 S (SB),Utah,830103,40.22876900,Bus
1860 S @ 502 E,Utah,830118,40.20864700,Bus
University Ave / Paul Ream Ave (NB),Utah,830127,40.25372000,Bus
University Ave / 4800 N (SB),Utah,830135,40.29719700,Bus
State St @ 200 N (NB),Utah,812005,40.30119700,Bus
University Ave / 4800 N (NB),Utah,830136,40.29812700,Bus
East Bay Blvd @ 139 E,Utah,830138,40.21476200,Bus
Freedom Blvd / 350 S (NB),Utah,830139,40.22897600,Bus
Main St @ 1056 S,Utah,830140,40.09759300,Bus
Main St @ 931 S,Utah,830141,40.09847800,Bus
Main St / 500 W (LDS Church P+R),Utah,830147,39.97639000,Bus
400 S / 1350 W (WB),Utah,830151,40.28995400,Bus
400 S / 1350 W (EB),Utah,830152,40.28981000,Bus
State Rd @ 1065 N,Utah,830002,40.07088800,Bus
800 E @ 984 N,Utah,830026,40.31530800,Bus
100 W @ 420 S,Utah,829038,40.03795100,Bus
Highway 198 @ 380 N,Utah,830007,40.05987900,Bus
Freedom Blvd / 300 N (SB),Utah,830061,40.23806400,Bus
Redwood Rd @ 1461 N,Utah,830123,40.38929100,Bus
Center St @ 875 W,Utah,830172,40.23368200,Bus
500 W @ 344 S,Utah,830174,40.22914400,Bus
920 S @ 471 W,Utah,830175,40.22168000,Bus
500 W @ 897 S,Utah,830177,40.22195800,Bus
500 W @ 281 S,Utah,830178,40.23017900,Bus
Center St @ 548 W,Utah,830179,40.23391800,Bus
Center St @ 970 W,Utah,830180,40.23391600,Bus
Lakeview Pkwy / Mike Jense Pkwy,Utah,830183,40.22073200,Bus
UVU Testing Services (EB),Utah,830192,40.28247500,Bus
UVU McKay Education Building (EB),Utah,830193,40.28259800,Bus
Center St @ 2906 W,Utah,830199,40.23386600,Bus
700 N / 600 E (WB),Utah,830214,40.24309000,Bus
700 N / 200 E (WB),Utah,830216,40.24310700,Bus
University Ave / Cougar Blvd (NB),Utah,830218,40.25127400,Bus
100 E @ 1446 N,Utah,830219,40.37957600,Bus
100 E @ 1453 N,Utah,830220,40.37965800,Bus
Main St / Center St (EB),Utah,830235,39.97551900,Bus
980 W @ 919 N,Utah,830236,40.31388200,Bus
1200 W @ 1448 N,Utah,812177,40.32329900,Bus
400 E @ 210 N,Utah,823095,40.16969400,Bus
State St / Lindon Center St (SB),Utah,830241,40.33716700,Bus
300 S / 200 E (EB),Utah,830245,40.22960000,Bus
UVU Station,Utah,830261,40.27588000,Bus
UVU Station,Utah,830262,40.27548400,Bus
Ashton Blvd / 1800 W (WB),Utah,830282,40.41874800,Bus
Center Street Station,Utah,830288,40.23334500,Bus
Center St / 400 E (WB),Utah,830293,40.29717700,Bus
Center St / 400 E (EB),Utah,830294,40.29694500,Bus
Triumph Blvd / 3400 N (NB),Utah,830296,40.42987700,Bus
Provo Central Station (Bay J),Utah,830298,40.22503200,Bus
Triumph Blvd / Ridge Dr (SB),Utah,830301,40.42546500,Bus
Triumph Blvd / Ridge Dr (NB),Utah,830302,40.42584000,Bus
Mill Rd @ 267 N,Utah,830312,40.30198400,Bus
Mill Rd @ 238 N,Utah,830313,40.30142100,Bus
State St @ Lindon Center St. (NB),Utah,830238,40.33885300,Bus
State  St @ 198 N,Utah,830239,40.34176100,Bus
1600 N @ 278 W,Utah,812189,40.32664800,Bus
1600 N @ 460 W,Utah,812190,40.32664200,Bus
1600 N @ 1035 W,Utah,812192,40.32631900,Bus
Main St / 1820 S (SB),Utah,816011,40.26356600,Bus
Main St / 2000 S (SB),Utah,816012,40.26049800,Bus
1460 N / 1900 W (WB),Utah,816019,40.25352400,Bus
University Ave / 960 N (SB),Utah,817369,40.24696300,Bus
East Bay North Station,Utah,830280,40.21450900,Bus
East Bay South Station,Utah,830281,40.20894300,Bus
University Pkwy / 400 W (EB),Utah,830284,40.27339500,Bus
University Place Station,Utah,830285,40.27328800,Bus
University Pkwy / 2230 N (SB),Utah,830286,40.26246800,Bus
BYU South Campus Station,Utah,830287,40.24576500,Bus
State St @ 1150 S,Utah,830308,40.27577800,Bus
1200 W @ 660 N,Utah,812058,40.30919500,Bus
1200 W @ 1320 N,Utah,812176,40.32121800,Bus
1720 N / 550 W (WB),Utah,817129,40.25703000,Bus
800 E @ 1169 S,Utah,817137,40.27573600,Bus
State St / University Pkwy (SB),Utah,817240,40.27223300,Bus
State St / 1500 S (SB),Utah,817241,40.26938500,Bus
700 N / 600 E (EB),Utah,817319,40.24291700,Bus
550 W / University Pkwy (NB),Utah,817365,40.26175200,Bus
800 E / 1150 S (SB),Utah,817368,40.27599900,Bus
300 S / 400 E (WB),Utah,820021,40.22975900,Bus
500 W / 200 N (NB),Utah,820230,40.23756300,Bus
900 E / 300 N (SB),Utah,820239,40.23791400,Bus
900 E / 200 N (SB),Utah,820240,40.23611500,Bus
900 E / Center St (SB),Utah,820241,40.23443100,Bus
900 E / 50 S (SB),Utah,820242,40.23247800,Bus
900 E @ 390 S,Utah,820244,40.22860400,Bus
900 E @ 534 S,Utah,820245,40.22649900,Bus
100 N @ 875 E,Utah,829026,40.04461200,Bus
100 N @ 601 E,Utah,829027,40.04459200,Bus
Highway 198 @ 502 W,Utah,830021,40.05123100,Bus
1460 N / 1220 W (EB),Utah,830091,40.25341000,Bus
1460 N / 1220 W (WB),Utah,830092,40.25351900,Bus
Center St @ 2084 W,Utah,830181,40.23393000,Bus
University Pkwy / 200 W (WB),Utah,816112,40.27376000,Bus
UVU Fulton Library (WB),Utah,816119,40.28088200,Bus
State St / 1600 S (SB),Utah,817242,40.26726000,Bus
Main St @ 1456 N,Utah,821002,40.18651700,Bus
Lehi Station (Bay B),Utah,801263,40.42583600,Bus
Lehi Station (Bay E),Utah,801265,40.42560800,Bus
Provo Central Station (Bay A),Utah,801275,40.22538900,Bus
State St @ 1090 S,Utah,820002,40.21957800,Bus
Orem Central Station (Bay F),Utah,830124,40.28079300,Bus
500 W / 940 N (SB),Utah,817251,40.24613900,Bus
800 S @ 996 W,Utah,828001,40.03145700,Bus
800 S / State St (EB),Utah,816127,40.28231900,Bus
State St @ Grandview Ln. (NB),Utah,817371,40.25698000,Bus
Center St @ 369 E,Utah,825111,40.10992200,Bus
Center St @ 745 E,Utah,825114,40.11003700,Bus
800 E @ 525 S,Utah,817141,40.28739400,Bus
500 W @ 988 N,Utah,817257,40.24675700,Bus
1200 W @ 1465 N,Utah,812034,40.32363500,Bus
State St / 600 N (SB),Utah,812038,40.30814700,Bus
State St / 200 S (SB),Utah,812045,40.29268900,Bus
1200 W @ 1575 N,Utah,812047,40.32577800,Bus
1600 N @ 381 E,Utah,813061,40.32670500,Bus
800 E / 800 N (SB),Utah,813089,40.31130400,Bus
UVU Station (Adjacent bus stop WB),Utah,816003,40.27584000,Bus
1430 S / Sandhill Rd (EB),Utah,816132,40.27076200,Bus
1430 S / 550 W (EB),Utah,816133,40.27070200,Bus
800 E @ 225 S,Utah,817005,40.29269500,Bus
2230 N / 350 W (EB),Utah,817036,40.26351100,Bus
2230 N / Freedom Blvd (WB),Utah,817085,40.26352400,Bus
2230 N / 400 W (WB),Utah,817086,40.26363300,Bus
State St @ 800 S (NB),Utah,817272,40.28295200,Bus
University Ave / 700 N (NB),Utah,817307,40.24361800,Bus
University Ave / 960 N (NB),Utah,817308,40.24698100,Bus
900 E @ 591 S,Utah,820037,40.22602800,Bus
University Ave / Towne Centre (NB),Utah,820078,40.21702600,Bus
University Ave / 900 S (NB),Utah,820080,40.22218200,Bus
University Ave / 1000 S (SB),Utah,820092,40.22043800,Bus
University Ave / Towne Centre (SB),Utah,820093,40.21822600,Bus
400 N @ 22 E,Utah,823076,40.17220100,Bus
400 N @ 220 E,Utah,823077,40.17217300,Bus
500 W / 500 N (SB),Utah,820228,40.24001700,Bus
900 E / 300 S (NB),Utah,820249,40.23005200,Bus
800 E @ 680 N,Utah,825072,40.11828000,Bus
800 E @ 985 N,Utah,830027,40.31530800,Bus
East Bay Blvd @ 126 E,Utah,830137,40.21450400,Bus
State St / 200 N (SB),Utah,830240,40.34151100,Bus
1600 N @ 84 W,Utah,812188,40.32670300,Bus
UVU Institute (EB),Utah,816122,40.28001400,Bus
State St @ 830 N,Utah,812011,40.31327800,Bus
500 W / 800 N (SB),Utah,817252,40.24404900,Bus
900 E / 300 N (NB),Utah,820253,40.23766800,Bus
Sandhill Rd / 1350 S (NB),Utah,816131,40.27275300,Bus
100 W @ 685 S,Utah,829003,40.03356900,Bus
State St @ 1801 S,Utah,821005,40.20851800,Bus
Main St @ 865 N,Utah,823053,40.17898400,Bus
900 N / 800 E (WB) for BYU S Campus,Utah,830116,40.24592100,Bus
1860 S @ 483 E,Utah,830119,40.20886600,Bus
Main St @ 451 S,Utah,830260,40.16037300,Bus
Main Street Station,Utah,830265,40.27348600,Bus
1600 N @ 436 E,Utah,813056,40.32654600,Bus
100 N @ 273 W,Utah,830204,40.23504500,Bus
River Park Dr / Edgewood Dr (EB),Utah,813009,40.30269400,Bus
1600 N @ 694 E,Utah,813057,40.32619700,Bus
550 W / 1800 N (SB),Utah,817128,40.25895500,Bus
800 E @ 905 S,Utah,817138,40.28036100,Bus
800 E @ 775 S,Utah,817139,40.28298900,Bus
University Ave / Center St (SB),Utah,820088,40.23326100,Bus
State St @ 1600 S. (SB),Utah,817266,40.26821700,Bus
State St @ University Pkwy. (NB),Utah,817268,40.27205800,Bus
400 N @ 340 E,Utah,823078,40.17215600,Bus
900 E / Center St (NB),Utah,820251,40.23414400,Bus
State St @ 1449 S,Utah,821007,40.21431100,Bus
Main St @ 318 S,Utah,825105,40.10554100,Bus
Center St @ 46 E,Utah,825109,40.10967700,Bus
Center St @ 370 E,Utah,825110,40.10966100,Bus
Center St @ 139 E,Utah,825112,40.10994500,Bus
800 E @ 185 N,Utah,825113,40.11219200,Bus
Center St @ 621 E,Utah,825115,40.10989900,Bus
State Rd @ 742 S,Utah,828006,40.03215100,Bus
Highway 198 @ 1902 W,Utah,829001,40.04745500,Bus
Highway 198 @ 2349 W,Utah,829007,40.04601000,Bus
State Rd @ 2192 W,Utah,829008,40.04641400,Bus
100 N @ 40 E,Utah,829011,40.04446600,Bus
Pony Express Pky @ 3917 E,Utah,830049,40.36223300,Bus
Pony Express Pky  @ 3916 E,Utah,830050,40.36206900,Bus
Hwy 198 @ 21 S,Utah,830157,40.05691800,Bus
State St @ 1049 S,Utah,830159,40.21998800,Bus
Ashton Blvd / 1800 W (EB),Utah,830283,40.41859500,Bus
Cabela's Blvd / Outlet Pkwy (EB),Utah,830036,40.43390700,Bus
500 W @ 118 S,Utah,830173,40.23209600,Bus
300 S / State St (EB),Utah,820017,40.22961500,Bus
400 E @ 175 S,Utah,823108,40.16419400,Bus
