Name/Address,Latitude,Longitude
1720 N / 550 W (EB),40.25691100,-111.66894600
900 E / 450 N (SB),40.23976800,-111.64330100
1460 N / Grand Ave (EB),40.25338500,-111.69414100
2100 W / 1730 N (NB),40.25658800,-111.69469900
1200 W / 700 S (SB),40.28405700,-111.72419600
State St @ 600 S (NB),40.28649500,-111.69011200
State St / 400 S (SB),40.28937000,-111.69182900
State St / 600 S (SB),40.28610600,-111.69039300
UVU Gunther Building (SB),40.27805200,-111.70820800
University Pkwy / Main St (WB),40.27373100,-111.69601800
1430 S / 400 W (EB),40.27154100,-111.70523800
State St @ 200 S (NB),40.29376900,-111.69331700
1460 N / 1500 W (EB),40.25340400,-111.68576500
800 E @ 385 S,40.28992100,-111.67619500
University Pkwy @ 2266 N,40.26367700,-111.66794500
800 E / 800 S (SB),40.28119800,-111.67646600
800 E / 1000 S (SB),40.27819000,-111.67644300
550 W / 1800 N (NB),40.25898500,-111.66785400
800 E @ 621 S,40.28544400,-111.67613800
State St / 1700 S (SB),40.26543800,-111.68101900
State St / 1800 S (SB),40.26344800,-111.67920100
State St / 1950 N (SB),40.26097400,-111.67685100
State St / 1850 N (SB),40.25849200,-111.67459600
State St / Grandview Ln (SB),40.25592300,-111.67222700
State St / Riverside Ave (SB),40.25316400,-111.66968700
500 W / Cougar Blvd (SB),40.24982500,-111.66760200
500 W / 1050 N (SB),40.24809600,-111.66756100
State St @ 1697 S,40.26631800,-111.68116000
1460 N / 1500 W (WB),40.25352100,-111.68571400
900 E / 450 N (NB),40.24018200,-111.64311600
Freedom Blvd / 1550 N (SB),40.25488400,-111.66210800
Freedom Blvd / Paul Ream Ave (SB),40.25267100,-111.66210300
University Ave / 450 S (NB),40.22768400,-111.65855600
University Ave / 300 S (NB),40.23018700,-111.65850300
University Ave / 100 S (NB),40.23277000,-111.65852400
400 E @ 245 N,40.17005400,-111.60342400
500 W @ 852 N,40.24506400,-111.66730100
500 W @ 1078 N,40.24863700,-111.66726100
State St @ Cougar Blvd (NB),40.25111100,-111.66750000
State St. @ Riverside Ave.,40.25397200,-111.66990100
State St @ 1950 N (NB),40.26152900,-111.67690000
State St @ 1851 S,40.26416900,-111.67935500
500 W @ 508 N,40.24087400,-111.66729200
Center St @ 1767 W,40.23382900,-111.69036200
University Ave / 300 S (SB),40.22919900,-111.65887100
400 S @ 195 E,40.16119300,-111.60736100
Main St @ 420 N,40.17260100,-111.61042700
Main St @ 670 N,40.17585100,-111.61043400
