X,Y,fid_,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.847921,40.7398650000001,"1225","126291",1500 E @ 1381 S,Salt Lake City,Salt Lake,"126291","126291",40.73986500,-111.84792100,"3","1","17",Bus,"84105",2.84000000,0.71000000
-111.847922,40.741318,"1226","126292",1500 E @ 1305 S,Salt Lake City,Salt Lake,"126292","126292",40.74131800,-111.84792200,"4","3","17",Bus,"84105",3.84000000,2.57000000
-111.873492,40.7497480000001,"1228","126295",900 S / 600 E (EB),Salt Lake City,Salt Lake,"126295","126295",40.74974800,-111.87349200,"5","14","9",Bus,"84105",5.46000000,13.69000000
-111.870668,40.7497680000001,"1229","126296",900 S / 700 E (EB),Salt Lake City,Salt Lake,"126296","126296",40.74979200,-111.87056800,"7","10","9",Bus,"84105",7.01000000,10.01000000
-111.848504,40.7498560000001,"1234","126309",900 S / Amanda Ave (WB),Salt Lake City,Salt Lake,"126309","126309",40.74985600,-111.84850400,"6","0","9",Bus,"84105",5.72000000,0.00000000
-111.850968,40.749778,"1235","126310",900 S / 1400 E (WB),Salt Lake City,Salt Lake,"126310","126310",40.74977800,-111.85096800,"1","0","9",Bus,"84105",0.52000000,0.26000000
-111.859223,40.7498650000001,"1236","126313",900 S / 1100 E (WB),Salt Lake City,Salt Lake,"126313","126313",40.74986500,-111.85922300,"24","10","220, 9",Bus,"84102",23.90000000,9.74000000
-111.862592,40.749892,"1237","126314",900 S / 1000 E (WB),Salt Lake City,Salt Lake,"126314","126314",40.74989200,-111.86259200,"4","4","9",Bus,"84105",3.64000000,4.48000000
-111.842192,40.7301800000001,"1261","126353",1700 E @ 1855 S,Salt Lake City,Salt Lake,"126353","126353",40.73018000,-111.84219200,"1","0","223",Bus,"84108",0.78000000,0.26000000
-111.842178,40.7333770000001,"1262","126355",1700 E @ 1709 S,Salt Lake City,Salt Lake,"126355","126355",40.73337700,-111.84217800,"0","1","223",Bus,"84108",0.00000000,0.79000000
-111.842361,40.7331310000001,"1263","126357",1700 E @ 1722 S,Salt Lake City,Salt Lake,"126357","126357",40.73313100,-111.84236100,"0","1","223",Bus,"84108",0.26000000,0.79000000
-111.842362,40.731453,"1264","126358",1700 E @ 1794 S,Salt Lake City,Salt Lake,"126358","126358",40.73145300,-111.84236200,"0","0","223",Bus,"84108",0.26000000,0.26000000
-111.84237,40.7296270000001,"1265","126359",1700 E @ 1884 S,Salt Lake City,Salt Lake,"126359","126359",40.72962700,-111.84237000,"0","1","223",Bus,"84108",0.00000000,0.79000000
-111.854048,40.7573980000001,"1267","126369",1300 E @ 544 S,Salt Lake City,Salt Lake,"126369","126369",40.75739800,-111.85404800,"8","5","213, 220",Bus,"84102",8.31000000,5.27000000
-111.84795,40.7476490000001,"1282","126421",1500 E @ 981 S,Salt Lake City,Salt Lake,"126421","126421",40.74764900,-111.84795000,"1","0","17",Bus,"84105",0.92000000,0.14000000
